code,product_name,brands,categories,labels,countries_en,quantity(g),url,ingredients_text,allergens,traces,nutriscore_grade,nutriscore_score,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nova_group,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url
2775,formula 1,"herbalife,balance","['complements alimentaires', 'substituts de repas']",no gluten,canada,780.0,http://world-en.openfoodfacts.org/product/00002775/formula-1-herbalife,"['isolat de proteine de soja', 'fructose', 'cellulose powder', 'corn bran', 'cocoa powder', 'guar gum', 'coffee powder', 'potassium chloride', 'calcium phosphate', 'casein', 'calcium caseinate', 'rice fiber', 'lecithine', 'canola oil', 'beta carotene', 'medium chain triglycerides', 'maltodextrin', 'carrageenan', 'dl-methionine', 'inulin', 'magnesium oxide', 'silicon dioxide', 'gum arabic', 'psyllium husk powder', 'ginger root powder', 'proteases derived from aspergillus niger and aspergillus oryzae', 'honey powder', 'citrus pectin', 'ascorbic acid', 'dl-alpha tocopheryl acetate', 'propylene glycol', 'pomegranate powder', 'papaya fruit powder', 'blueberry powder', 'biotin', 'niacinamide', 'ferrous fumarate', 'zinc oxide', 'copper gluconate', 'calcium d-pantothenate', 'bromelain', 'papain powder', 'cyanocobalamin', 'cholecalciferol', 'folic acid', 'pyridoxine hydrochloride', 'thiamine mononitrate', 'riboflavin', 'chromium chloride', 'sodium molybdate', 'sodium selenite']","['soja(ia)', 'lait(ia)']",unknow,a,,1447.7,3.85,0.0,50.0,34.6,,,0.913,4.0,https://images.openfoodfacts.org/images/products/000/000/000/2775/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/2775/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/2775/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/2775/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/2775/nutrition_en.7.400.jpg
3082,broccoli,none,[],unknow,canada,,http://world-en.openfoodfacts.org/product/00003082/broccoli-none,['broccoli'],unknown,unknow,unknow,,142.3,0.4,,6.5,,,3.0,0.075,1.0,https://images.openfoodfacts.org/images/products/000/000/000/3082/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3082/front_en.3.200.jpg,unknow,unknow,unknow
3118,pears general,unknow,"[""aliments d'origine vegetale"", 'aliments a base de fruits et de legumes', 'fruits et produits derives', 'fruits', 'complements alimentaires', 'fruits frais', 'poires', 'poires fraiches']",sans gluten,"canada,united states",,http://world-en.openfoodfacts.org/product/00003118/pears-general-none,"['pea protein', 'fructose', 'safflower oil', 'inulin', 's guar gum', 'xanthan gum', 'pectin', 'calcium citrate', 'but', 'lecithine', 'l-methionine', 'rapeseed oil', 'magnesium oxide', 'sodium chloride', 'l-ascorbic acid', 'beta-carotene', 'dl-alpha-tocopherol acetate', 'blueberry juice powder', 'potassium phosphate pomegranate juice', 'aromas', 'microcrystalline cellulose', 'iron fumarate', 'nicotinamide', 'parsley powder', 'papaya powder', 'zinc oxide', 'calcium d-pantothenate', 'manganese carbonate', 'copper citrate', 'cyanocobalamin', 'cholecalciferol', 'pyridoxine chloride', 'thiamine chloride riboflavin', 'pteroylmonoglutamic acid', 'potassium iodide', 'sodium selenite', 'biotin']",unknown,unknow,d,16.0,422.6,0.3,1.6,27.0,26.0,,0.6,2.5,4.0,https://images.openfoodfacts.org/images/products/000/000/000/3118/front_en.35.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3118/front_en.35.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3118/ingredients_fr.7.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3118/ingredients_fr.7.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3118/nutrition_fr.10.400.jpg
3283,honeycrisp apple,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'fruits based foods', 'fruits', 'apples', 'fresh fruits', 'fresh apples']",unknow,"canada,united states",160.0,http://world-en.openfoodfacts.org/product/00003283/honeycrisp-apple,['honeycrisp apple'],unknown,unknow,d,15.0,218.4,0.165,0.0549,13.7,10.4,2.42,0.275,2.47,,https://images.openfoodfacts.org/images/products/000/000/000/3283/front_en.12.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3283/front_en.12.200.jpg,unknow,unknow,https://images.openfoodfacts.org/images/products/000/000/000/3283/nutrition_en.18.400.jpg
3507,cosmic crisp apple,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'fruits based foods', 'fruits', 'apples', 'fresh fruits', 'fresh apples']",unknow,"canada,united states",225.0,http://world-en.openfoodfacts.org/product/00003507/cosmic-crisp-apple,['cosmic crisp apple'],unknown,unknow,unknow,,217.6,0.2,,14.0,,,0.2,,,https://images.openfoodfacts.org/images/products/000/000/000/3507/front_en.9.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3507/front_en.9.200.jpg,unknow,unknow,unknow
380101772,roasted chicken + herb flavour collagen bone broth,isagenix,"['soups', 'soup mixes']","no gluten, no gmos, no soy",canada,210.0,http://world-en.openfoodfacts.org/product/0000380101772/roasted-chicken-herb-flavour-collagen-bone-broth-isagenix,"['hydrolyzed bovine collagen', 'bovine broth protein', 'guar gum', 'acacia gum', 'xanthan gum', 'pink himalayan salt', 'silicon dioxide', 'onion powder', 'black pepper', 'garlic powder', 'ascorbic acid']",unknown,unknow,e,27.0,1343.1,7.14,0.0,14.3,14.3,0.0,,,4.0,https://images.openfoodfacts.org/images/products/000/038/010/1772/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1772/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1772/ingredients_en.12.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1772/ingredients_en.12.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1772/nutrition_en.5.400.jpg
380101788,chocolate isapro plant-based protein,isagenix,"['bodybuilding supplements', 'protein powders']","no gluten, vegetarian, no artificial flavors, no artificial sweeteners, vegan, no artificial colors, no artificial colours or flavours, no artificial flavourings or sweeteners, no soy",canada,969.0,http://world-en.openfoodfacts.org/product/0000380101788/chocolate-isapro-plant-based-protein-isagenix,"['protein comples pea protein concentrate', 'brown rice protein concentrate', 'cocoa powder', 'medium-chain triglyceride oil powder', 'sugars fructose', 'xanthan gum', 'sea salt', 'stevia stevia rebaudiana leaf extract', 'cinnamon']",unknown,unknow,d,15.0,1569.0,9.38,6.25,15.6,3.12,6.25,,1.72,4.0,https://images.openfoodfacts.org/images/products/000/038/010/1788/front_en.8.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1788/front_en.8.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1788/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1788/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/1788/nutrition_en.14.400.jpg
380102109,chocolate indulgence isalean whole blend whey-based bar,isagenix,[],"sustainable, kosher, no gluten, no gmos, sustainable palm oil, no soy, orthodox union kosher",canada,610.0,http://world-en.openfoodfacts.org/product/0000380102109/chocolate-indulgence-isalean-whole-blend-whey-based-bar-isagenix,"['milk protein isolate', 'whey protein cocoa crisps whey protein isolate', 'whey protein concentrate', 'tapioca starch', 'dutch cocoa powder', 'calcium carbonate', 'lecithine', 'fructooligosaccharides', 'glycerin', 'polydextrose 3.5 g per serving of 61 g', 'sugars tapioca syrup', 'sucre', 'maltodextrin tapioca fibre', 'modified palm kernel oil', 'almond butter', 'whey protein isolate', 'eau', 'sunflower oil', 'chocolate liquor', 'cocoa butter', 'cocoa powder', 'vegetable extract blend broccoli', 'spinach', 'kale', 'squash', 'sweet potato', 'sunflower seed', 'cranberry', 'chlorella', 'maitake mushroom', 'sel', 'cream', 'acacia gum', 'carrageenan', 'stevia leaf extract', 'tocopherols', 'peanuts']","['ble(ia)', 'noix(ia)', 'arachides(ia)', 'lait(ia)']","eggs,gluten,nuts,sesame-seeds,soybeans",c,10.0,1577.4,14.8,8.2,41.0,4.92,,,0.492,4.0,https://images.openfoodfacts.org/images/products/000/038/010/2109/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2109/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2109/ingredients_en.11.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2109/ingredients_en.11.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2109/nutrition_en.7.400.jpg
380102399,xango reserve,isagenix,"['boissons', 'plant-based beverages', 'juices and nectars']",unknow,canada,0.75,http://world-en.openfoodfacts.org/product/0000380102399/xango-reserve-isagenix,"['mangosteen fruit puree', 'eau', 'concentrated apple juice', 'concentrated grape juice', 'concentrated pear juice', 'pear puree', 'concentrated bluebarry juice', 'citric acid', 'concentrated raspberry juice', 'concentrated strawberry juice', 'concentrated cherry juice', 'concentrated cranberry juice', 'canthan gum', 'pectin', 'potassium sorbate', 'sodium benzoate']",unknown,unknow,e,11.0,181.2,0.0,0.0,10.0,10.0,0.0,0.0,0.0417,4.0,https://images.openfoodfacts.org/images/products/000/038/010/2399/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2399/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2399/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2399/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/000/038/010/2399/nutrition_en.5.400.jpg
3991,poudre de cacao,organic traditions,[],"no added sugar,certified by ecocert,usda organic,canada organic,orthodox union kosher,haccp,no gluten,vegan,without sulfites,no gmos",canada,227.0,http://world-en.openfoodfacts.org/product/00003991/poudre-de-cacao-organic-traditions,['graines de sesame'],"['noix(ia)', 'sesame(ia)']",sesame seeds,unknow,,1464.4,10.0,5.0,,0.0,,25.0,0.375,1.0,https://images.openfoodfacts.org/images/products/000/000/000/3991/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3991/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3991/ingredients_fr.5.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3991/ingredients_fr.5.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/3991/nutrition_fr.7.400.jpg
